MLS #,Cat,Status,Address,Photo  Thumbnail_   ,City,Beds,Baths,Sub Type,Status Contractual Search Date,List Office Name,Current Price,Open House Count,Open House Upcoming
PADE2091440,RES,ACT,235 W Ponds Edge Dr,,Media,4,3.1,,5/29/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$839,000 ",5,
PADE2093040,RES,ACT,2903 S Half Mile Post S,,Garnet Valley,2,2.1,,6/21/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$545,000 ",1,
PACT2103232,RES,ACT,190 Petrelia Dr,,Honey Brook,4,2.1,,7/5/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$697,000 ",,
PACT2095372,RES,ACT,1302 Ashbridge Rd,,West Chester,4,4.1,,5/17/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$675,000 ",6,
PAPH2474982,MUL,ACT,55 W Seymour St,,Philadelphia,,,Duplex,4/25/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$460,000 ",,
PADE2093700,RES,ACT,400 Pine St,,Glenolden,3,1,,7/1/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$264,850 ",,
PADE2090942,RES,ACT,698 Featherbed Ln,,Garnet Valley,4,2.1,,5/25/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$799,000 ",3,
PADE2084514,RESL,ACT,619-Unit B Country Ln,,Morton,2,1.1,,2/20/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$2,300 ",,
PAPH2435320,MUL,ACT,1606 S 56th St,,Philadelphia,,,Duplex,1/28/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$250,000 ",,
PAPH2499828,RES,ACT,1227 N 5th St #2,,Philadelphia,3,3,,6/24/2025,"Weichert, Realtors - Cornerstone (ASSRDRE6)","$495,000 ",,
PACT2100430,RES,ACT,112 Jeffords Ct #1601,,Phoenixville,3,2,,6/16/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$425,000 ",2,
PAMC2139658,RES,ACT,504 Walnut St,,Norristown,4,1,,5/7/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$195,000 ",,
PAMC2143872,RES,ACT,2 Republic Ave,,Norristown,3,2,,7/7/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$375,000 ",,
PADE2092864,RES,ACT,456 Colfax Rd,,Havertown,5,3,,7/2/2025,"Weichert, Realtors - Cornerstone (ASSRDRE6)","$675,000 ",1,
PAMC2146430,RESL,ACT,1109 Center Ave,,Pottstown,3,1,,7/2/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$2,090 ",1,
PADE2094320,RES,ACT,714 Pritchard Pl,,Newtown Square,2,2,,7/6/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$375,000 ",,
PAPH2490370,RES,ACT,5328 Willows Ave,,Philadelphia,3,1.2,,6/17/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$125,000 ",,
PAPH2448602,RES,ACT,6022 Haverford Ave,,Philadelphia,3,1,,3/4/2025,"Weichert, Realtors - Cornerstone (ASSRDRE4)","$125,000 ",,
PAPH2492310,RES,ACT,5640 N Marvine St,,Philadelphia,3,1.1,,6/17/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$224,850 ",,
PADE2085800,RES,ACT,103 Highland Ave,,Chester,4,1.1,,3/23/2025,"Weichert, Realtors - Cornerstone (ASSRDRE4)","$164,900 ",,
PAPH2436606,RES,ACT,2643 S Alder St,,Philadelphia,3,1.1,,2/10/2025,"Weichert, Realtors - Cornerstone (ASSRDRE6)","$299,000 ",5,
PADE2080776,RES,ACT,100 E Glenolden Ave #R-9,,Glenolden,1,1,,2/28/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$127,500 ",,
PAMC2139232,RESL,ACT,2102-2 Whitpain Hls,,Blue Bell,1,1,,5/5/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$1,650 ",1,
PAMC2146700,COM,ACT,363-369 W Glenside Ave,,Glenside,,,Industrial,7/7/2025,"Weichert, Realtors - Cornerstone (ASSRDRE)","$1,195,000 ",,
PAPH2490592,LAND,ACT,2632 W Cumberland St,,Philadelphia,,,Land,6/18/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$50,000 ",,
PABK2058432,COML,ACT,349 W Main St,,Birdsboro,,,Retail,6/6/2025,"Weichert, Realtors - Cornerstone (ASSRDRE)",$700.00 ,,
PACT2093296,COML,ACT,132 E Lancaster Ave,,Downingtown,,,Retail,3/15/2025,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$5,000.00 ",,
PAPH2448604,LAND,ACT,6015 Haverford Ave,,Philadelphia,,,Land,2/27/2025,"Weichert, Realtors - Cornerstone (ASSRDRE4)","$15,000 ",,
PAPH2448600,COM,ACT,6013 Haverford Ave,,Philadelphia,,,Mixed Use,3/6/2025,"Weichert, Realtors - Cornerstone (ASSRDRE4)","$85,000 ",,
PAPH2393084,COML,ACT,6845 Germantown Ave,,Philadelphia,,,Office,9/4/2024,"Weichert, Realtors - Cornerstone (ASSRDRE2)","$3,500.00 ",,
PACT2047162,LAND,ACT,1928 Kimberton Rd,,Phoenixville,,,Land,5/1/2025,"Weichert, Realtors - Cornerstone (ASSRDRE5)","$249,000 ",,
